experiment_id,Ax,Ay,Az
215,-1.4058653,0.5629956,-1.3938079
216,-1.4058162,0.56282145,-1.1148953
217,-1.405642,0.5626719,-0.83613235
218,-1.405642,0.56284606,-0.5569699
219,-1.405767,0.56294644,-0.27785656
220,-1.405642,0.5625469,0.00030405965
221,-1.4060415,0.56289726,0.27811435
222,-1.4057649,0.56282145,0.5566765
223,-1.4060415,0.5626207,0.8346118
224,-1.4054167,0.56239736,1.113928
225,-1.405642,0.5630468,1.3924143
226,-1.406017,0.84291,-1.394107
227,-1.4062157,0.84255964,-1.1151186
228,-1.4063407,0.8425351,-0.83613235
229,-1.405767,0.84295917,-0.55657035
230,-1.4058162,0.8427338,-0.2783831
231,-1.4059166,0.84253305,-9.750391e-05
232,-1.4057916,0.8428096,0.2782393
233,-1.4057649,0.8424347,0.556277
234,-1.4055662,0.84318453,0.8348126
235,-1.4061153,0.84270924,1.1138275
236,-1.4056154,0.84288335,1.3924143
237,-1.4061666,1.123521,-1.1152948
238,-1.4058408,1.123271,-0.8366056
239,-1.4062669,1.1225704,-0.5571194
240,-1.4063407,1.1230457,-0.27848145
241,-1.4059658,1.1229473,0.0004536216
242,-1.4059904,1.1229453,0.2782639
243,-1.4059658,1.1234452,0.5562504
244,-1.406316,1.1229453,0.83503795
245,-1.4059658,1.1228715,1.1136022
246,-1.4060662,1.4037857,-0.83665687
247,-1.4060907,1.403587,-0.557646
248,-1.4060415,1.4034866,-0.2783831
249,-1.4061153,1.403085,0.000103277875
250,-1.4057404,1.4033616,0.27788898
251,-1.406017,1.4033616,0.5561008
252,-1.4059166,1.4036361,0.8340627
253,-1.4061911,1.6837984,-0.2789076
254,-1.4060907,1.6838742,-4.628407e-05
255,-1.4057158,1.6841242,0.2778644
256,-1.124777,-1.6894851,-0.83770585
257,-1.1249532,-1.6896592,-0.55769515
258,-1.1245782,-1.6893089,-0.27915755
259,-1.1246275,-1.6892085,-0.00044579883
260,-1.1245782,-1.6890835,0.2777394
261,-1.1247524,-1.6888089,0.5561254
262,-1.1248528,-1.6888582,0.8347634
263,-1.124777,-1.4073457,-1.1162455
264,-1.1248016,-1.4073702,-0.83645606
265,-1.1249532,-1.4076202,-0.55732024
266,-1.1246275,-1.407446,-0.2782069
267,-1.1248775,-1.4074706,2.8869813e-06
268,-1.124777,-1.4075444,0.27813894
269,-1.1246766,-1.4072698,0.5562012
270,-1.1245782,-1.4074194,0.83503795
271,-1.1244267,-1.4068949,1.1133522
272,-1.1246275,-1.125532,-1.3948077
273,-1.1247013,-1.1255813,-1.1152703
274,-1.1245271,-1.1254562,-0.8363557
275,-1.124777,-1.1256816,-0.55701905
276,-1.1243529,-1.1254562,-0.27818233
277,-1.1247278,-1.1254562,0.00030405965
278,-1.1243529,-1.1254562,0.27806517
279,-1.1245024,-1.1256816,0.55640197
280,-1.1242279,-1.1257308,0.83473676
281,-1.1245024,-1.1254317,1.1136267
282,-1.124402,-1.1252555,1.3919389
283,-1.1248016,-0.84401757,-1.6731957
284,-1.1246275,-0.8437922,-1.3938079
285,-1.124902,-0.8434664,-1.1147192
286,-1.1245517,-0.8437922,-0.8362307
287,-1.1245024,-0.84344184,-0.55682033
288,-1.1240026,-0.8438414,-0.27818233
289,-1.124103,-0.84344184,0.00042903607
290,-1.1245271,-0.84356683,0.27816555
291,-1.1240517,-0.8436672,0.5569019
292,-1.1244267,-0.84361804,0.8350871
293,-1.1244779,-0.843743,1.1135263
294,-1.1242279,-0.84336805,1.3926889
295,-1.1242279,-0.84306693,1.6710277
296,-1.1247033,-0.5622306,-1.6732694
297,-1.1247033,-0.5617307,-1.3938079
298,-1.1242013,-0.5617798,-1.1145695
299,-1.124402,-0.5618536,-0.8359316
300,-1.1243775,-0.56215477,-0.5566687
301,-1.124103,-0.56170404,-0.27810857
302,-1.1240764,-0.56157905,5.4106822e-05
303,-1.1242526,-0.56155443,0.27806517
304,-1.1241522,-0.5614787,0.556277
305,-1.1239268,-0.5612799,0.8350625
306,-1.1243284,-0.5612287,1.1141778
307,-1.1242013,-0.5613045,1.3924634
308,-1.1242013,-0.56157905,1.6713269
309,-1.1245024,-0.2799908,-1.6727941
310,-1.1241275,-0.27954006,-1.3937321
311,-1.1241767,-0.2794909,-1.1148953
312,-1.1240026,-0.27941507,-0.8361815
313,-1.124402,-0.2794663,-0.5566195
314,-1.1243284,-0.27943966,-0.2782827
315,-1.124103,-0.27939048,0.0001278634
316,-1.1237772,-0.27941507,0.2785405
317,-1.1241767,-0.2794663,0.5565024
318,-1.1240271,-0.27926552,0.8351629
319,-1.1240764,-0.27908933,1.1141267
320,-1.1239268,-0.27961585,1.392738
321,-1.1241275,-0.2791897,1.6713514
322,-1.1241275,0.002574735,-1.6729192
323,-1.1241767,0.0027980537,-1.3930559
324,-1.1240026,0.0026997116,-1.1144937
325,-1.1242013,0.0028492736,-0.8354808
326,-1.1239268,0.0023985389,-0.5563204
327,-1.1241522,0.0024231244,-0.27805734
328,-1.1239513,0.0029496644,0.00017908323
329,-1.1239268,0.0030992264,0.2787392
330,-1.124103,0.0025235154,0.55727684
331,-1.1242279,0.002824688,0.8349375
332,-1.1239268,0.0027980537,1.1140529
333,-1.1241275,0.0030746409,1.3923631
334,-1.1237013,0.0027734681,1.6713514
335,-1.1243529,0.28316113,-1.6729212
336,-1.123978,0.28308532,-1.393181
337,-1.1240271,0.28261,-1.1148195
338,-1.1242771,0.2825854,-0.835907
